City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,38,0,6.0,RU,1686625398
148,salmon arm,50.6998,-119.3024,29.62,48,53,0.51,CA,1686625320
149,geraldton,-28.7667,114.6,17.23,55,0,6.17,AU,1686625334
150,paita,-5.0892,-81.1144,22.92,78,1,7.2,PE,1686625399
151,mirnyy,62.5353,113.9611,14.02,30,70,0.89,RU,1686625396
152,tura,25.5198,90.2201,27.14,83,7,3.0,IN,1686625199
153,ngorongoro,-3.2397,35.4875,10.77,86,88,1.46,TZ,1686625399
154,mizdah,31.4451,12.9801,22.05,48,0,2.49,LY,1686625147
155,yeed,4.55,43.0333,22.26,73,99,6.84,SO,1686625399
156,bulayevo,54.9056,70.4439,12.35,53,100,3.59,KZ,1686625187
157,manga,11.6636,-1.0731,24.92,80,75,3.14,BF,1686625399
158,qamdo,31.1667,97.2333,2.34,94,100,1.15,CN,1686625400
159,yemetsk,63.4721,41.7941,16.18,57,100,4.14,RU,1686625400
160,ambikapur,23.1167,83.2,36.44,24,5,3.7,IN,1686625400
161,sisimiut,66.9395,-53.6735,0.06,88,31,3.26,GL,1686625400
162,howrah,22.5892,88.3103,31.0,84,40,2.57,IN,1686625400
163,smara,26.7384,-11.6719,20.28,84,15,4.98,EH,1686625175
164,klyuchi,52.2667,79.1667,19.07,54,18,4.38,RU,1686625161
165,santa cruz,-17.8,-63.1667,13.7,54,100,9.26,BO,1686625376
166,la sarre,48.8002,-79.1996,15.03,87,100,2.77,CA,1686625376
167,neryungri,56.6709,124.6491,5.02,90,100,4.21,RU,1686625401
168,palikir - national government center,6.9248,158.1611,31.47,74,100,5.14,FM,1686625401
169,xuddur,4.1213,43.8894,20.77,85,60,7.11,SO,1686625401
170,thompson,55.7435,-97.8558,8.09,81,100,5.14,CA,1686625401
171,hadibu,12.65,54.0333,28.24,78,100,10.52,YE,1686625402
172,saipan,15.1355,145.701,31.39,100,75,5.66,MP,1686625402
173,fort bragg,35.139,-79.006,22.91,91,75,2.06,US,1686625155
174,mejit,10.2753,170.8646,27.93,80,86,9.03,MH,1686625402
175,reggane,26.7158,0.1714,31.46,10,0,3.81,DZ,1686625155
176,labuan,5.2767,115.2417,31.2,74,40,1.54,MY,1686625402
177,gulf shores,30.246,-87.7008,24.08,89,20,4.63,US,1686625337
178,kyenjojo,0.6328,30.6214,15.55,96,95,0.94,UG,1686625403
179,pisco,-13.7,-76.2167,19.03,77,2,1.03,PE,1686625403
180,west island,-12.1568,96.8225,26.99,83,75,8.47,CC,1686625403
181,hawaiian paradise park,19.5933,-154.9731,27.07,75,40,4.12,US,1686625403
182,henderson,36.0397,-114.9819,29.01,27,0,5.66,US,1686625152
183,chinde,26.8418,88.0763,22.87,69,34,1.4,NP,1686625403
184,new norfolk,-42.7826,147.0587,13.84,78,94,1.37,AU,1686625163
185,lompoc,34.6391,-120.4579,18.21,84,0,3.09,US,1686625199
186,ust-nera,64.5667,143.2,7.72,84,100,3.65,RU,1686625149
187,port alfred,-33.5906,26.891,15.0,57,100,8.46,ZA,1686625404
188,chibougamau,49.9168,-74.3659,17.79,59,0,3.09,CA,1686625340
189,nemuro,43.3236,145.575,11.97,97,100,5.12,JP,1686625405
190,xilin hot,43.9667,116.0333,24.79,30,4,4.54,CN,1686625405
